id,title,artist,year,note,path,startAt,chorusAt
74,ウィーアー! for the new world,きただにひろし,2018,『ONE PIECE』OP,https://www.youtube.com/watch?v=64EdoKbeg9c,0,86.0
75,やさしさに包まれたなら,荒井由実,1974,映画『魔女の宅急便』ED,https://www.youtube.com/watch?v=2gAGzN4rjHY,0,46.5
76,銀河鉄道999,ゴダイゴ,1979,映画『銀河鉄道999 (The Galaxy Express 999) 』主題歌,https://www.youtube.com/watch?v=uTqUiqszKAg,0,49.8
77,CAT'S EYE,杏里,1983,『キャッツ♥アイ』OP,https://www.youtube.com/watch?v=6LgQUw4WKMs,0,59
78,ロマンティックあげるよ,橋本潮,1986,『ドラゴンボール』ED,https://www.youtube.com/watch?v=8PHGRzf9opk,0,59.4
79,愛をとりもどせ!!,クリスタルキング,1984,『北斗の拳』OP,https://www.youtube.com/watch?v=VNMLb1Krvoc,56.5,119
80,心絵,ロードオブメジャー,2004,『メジャー〜1stシーズン〜』OP,https://www.youtube.com/watch?v=JKzHn7Qim4U,0,64.9
81,バリバリ最強No.1,FEEL SO BAD,1997,『地獄先生ぬ～べ～』OP,https://www.youtube.com/watch?v=W3r_wFIGjHU,2.9,98.8
82,Ready!! Steady!! Derby!!,ジャングルポケット(藤本侑里)・アグネスタキオン(上坂すみれ)・マンハッタンカフェ(小倉唯)・ダンツフレーム(福嶋晴菜),2024,劇場版『ウマ娘 プリティーダービー 新時代の扉』主題歌,https://www.youtube.com/watch?v=tKzqJzEuTEA,0,66.5
83,*～アスタリスク～,ORANGE RANGE,,『BLEACH』OP,https://www.youtube.com/watch?v=MS7qWGeOTfY,34.1,114.9
